Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2024;02.01.2024;97.756,00;47.621,75;101.283,75;675.507,75;38.018,00;3.379,50;0,00;84.051,50;46.609,50;73.006,50;19.541,25;26.885,00
02.01.2024;03.01.2024;100.081,00;47.486,75;114.717,50;692.631,00;10.702,25;4.103,75;0,00;94.460,50;51.214,50;120.667,00;37.303,75;28.630,00
03.01.2024;04.01.2024;99.360,00;45.136,25;96.273,00;903.231,00;32.264,75;3.995,50;0,00;90.543,75;54.869,25;117.225,75;24.662,25;33.057,75
04.01.2024;05.01.2024;100.680,50;46.706,50;65.056,00;532.893,25;26.356,75;4.018,25;0,00;195.833,00;77.297,75;173.498,00;31.471,50;32.175,25
05.01.2024;06.01.2024;101.159,50;46.912,25;131.692,00;434.751,50;25.621,00;4.722,00;0,00;259.096,00;81.515,50;188.761,50;19.254,75;33.459,75
06.01.2024;07.01.2024;101.702,50;46.680,00;138.591,50;253.361,00;13.241,50;4.727,50;0,00;272.074,75;72.580,25;184.937,25;18.446,25;30.790,50
07.01.2024;08.01.2024;101.206,50;49.160,75;97.026,75;326.788,25;16.333,50;4.741,00;0,00;254.985,75;80.138,50;187.570,00;14.480,50;31.610,75
08.01.2024;09.01.2024;102.335,50;49.066,50;118.657,50;408.766,75;41.129,25;4.398,00;0,00;282.991,25;144.335,00;272.711,75;21.735,50;32.084,00
09.01.2024;10.01.2024;102.626,75;54.681,25;25.245,25;264.538,75;75.589,75;4.422,75;0,00;321.633,25;216.634,00;315.659,75;34.860,25;34.063,00
10.01.2024;11.01.2024;104.029,25;57.768,75;20.518,50;140.196,50;70.612,00;4.453,00;0,00;355.247,25;237.488,25;378.974,50;36.478,00;34.834,50
11.01.2024;12.01.2024;104.464,50;57.016,50;39.570,00;102.113,25;65.201,00;4.618,00;0,00;370.062,75;243.259,25;378.557,00;31.019,75;33.815,25
12.01.2024;13.01.2024;104.978,25;55.118,50;94.183,75;133.805,75;21.011,50;4.287,50;0,00;350.910,75;238.197,50;363.536,50;36.222,75;33.782,75
13.01.2024;14.01.2024;103.891,75;49.821,00;109.356,75;509.679,25;13.296,50;3.385,00;0,00;243.651,50;158.963,75;246.456,00;19.283,75;31.694,25
14.01.2024;15.01.2024;102.582,25;45.924,50;126.165,25;557.681,25;34.536,75;3.270,25;0,00;222.463,75;133.476,25;218.589,75;17.862,00;32.816,00
15.01.2024;16.01.2024;102.029,50;48.290,50;119.156,75;588.047,50;22.651,50;3.636,75;0,00;281.967,50;159.328,75;288.355,00;25.020,50;24.947,50
16.01.2024;17.01.2024;103.119,00;47.282,25;88.122,25;333.509,75;33.751,75;3.943,00;0,00;353.905,50;210.660,25;326.944,50;32.929,00;33.196,25
17.01.2024;18.01.2024;104.309,25;49.089,50;80.568,75;277.128,75;14.472,00;4.068,50;0,00;347.881,25;207.725,50;339.328,50;34.571,50;33.536,75
18.01.2024;19.01.2024;104.329,25;52.156,00;85.199,75;177.454,75;23.482,75;4.510,75;0,00;362.081,75;171.808,50;337.417,00;32.890,50;35.816,25
19.01.2024;20.01.2024;104.201,50;48.283,00;125.813,00;594.041,25;32.442,50;3.472,00;0,00;278.736,25;148.047,75;289.411,00;26.033,75;28.752,00
20.01.2024;21.01.2024;104.168,75;46.179,00;126.359,75;599.107,00;61.247,75;3.370,75;0,00;191.547,75;100.947,50;249.597,25;22.765,75;23.229,75
21.01.2024;22.01.2024;102.742,50;43.582,25;126.755,50;773.557,25;43.170,25;3.345,75;0,00;93.851,50;91.902,00;178.596,75;12.692,25;23.668,00
22.01.2024;23.01.2024;102.301,50;43.174,50;92.094,50;986.958,00;22.913,00;3.310,25;0,00;90.164,50;124.972,25;177.736,50;24.677,25;21.690,00
23.01.2024;24.01.2024;102.331,75;44.267,50;110.019,00;896.238,75;54.288,25;3.474,00;0,00;108.881,50;115.634,50;198.168,25;31.134,75;28.260,00
24.01.2024;25.01.2024;100.023,25;43.853,75;95.576,00;1.029.204,50;40.377,00;3.497,00;0,00;97.150,50;108.331,75;166.988,00;23.567,75;28.701,00
25.01.2024;26.01.2024;103.147,00;50.257,25;77.143,50;552.569,50;65.498,75;3.828,25;0,00;160.621,75;118.912,25;244.776,00;33.215,75;30.404,75
26.01.2024;27.01.2024;102.367,75;50.327,25;109.749,25;719.793,75;24.737,25;3.558,50;0,00;143.152,50;113.997,75;185.186,00;15.735,75;31.124,00
27.01.2024;28.01.2024;103.142,75;51.689,50;115.413,00;433.004,00;123.524,25;3.717,50;0,00;143.117,25;83.154,75;166.903,50;26.855,25;33.966,00
28.01.2024;29.01.2024;102.832,25;49.497,25;108.454,50;363.615,75;142.216,25;3.639,50;0,00;119.062,00;64.392,00;159.344,25;9.352,75;33.006,00
29.01.2024;30.01.2024;104.029,75;53.125,50;72.062,50;361.101,50;124.073,00;3.960,25;0,00;204.127,50;132.989,50;231.102,50;30.260,75;33.938,75
30.01.2024;31.01.2024;104.060,00;53.501,25;107.775,00;424.770,25;76.415,50;3.854,25;-;229.037,50;115.430,75;209.884,00;23.825,00;32.994,00
31.01.2024;01.02.2024;102.696,00;54.212,25;118.063,25;492.575,50;44.627,75;3.839,00;-;216.617,00;131.828,00;201.816,25;29.429,00;33.622,25
01.02.2024;02.02.2024;103.304,75;52.421,75;92.091,25;670.442,75;67.201,50;4.054,25;-;176.399,50;130.314,75;191.849,25;35.926,50;34.593,50
02.02.2024;03.02.2024;104.253,50;51.035,75;124.865,50;747.270,25;48.930,25;3.841,75;-;138.935,25;101.264,50;172.273,50;20.640,75;32.892,25
03.02.2024;04.02.2024;101.908,75;47.339,50;128.853,75;832.640,00;51.887,25;3.549,25;-;88.819,75;88.512,75;123.627,75;29.465,50;32.771,25
04.02.2024;05.02.2024;100.825,75;44.231,50;135.560,00;910.004,75;35.799,00;3.489,25;-;83.828,00;73.895,00;107.629,75;19.232,50;33.206,50
05.02.2024;06.02.2024;100.699,25;45.031,50;110.290,50;1.005.739,50;82.874,50;3.456,50;-;89.011,50;100.771,25;158.676,75;34.549,00;32.591,00
06.02.2024;07.02.2024;100.031,25;45.010,00;120.142,00;1.060.473,50;44.833,50;3.574,00;-;93.579,00;104.097,25;152.546,00;24.526,50;31.298,00
07.02.2024;08.02.2024;103.304,75;47.755,75;103.359,50;521.538,25;45.611,75;3.688,75;-;249.594,25;111.057,25;227.380,00;32.935,75;31.125,25
08.02.2024;09.02.2024;103.246,25;49.938,25;47.381,75;230.076,25;39.536,75;4.322,25;-;322.885,25;155.379,00;293.633,25;30.316,50;33.216,50
09.02.2024;10.02.2024;103.062,75;45.973,25;142.651,25;511.694,75;37.277,75;4.301,00;-;246.204,00;69.870,25;183.073,75;22.554,00;34.572,25
10.02.2024;11.02.2024;103.377,00;44.629,75;103.775,50;214.524,50;70.696,25;4.033,50;-;251.166,75;66.003,50;155.476,25;19.423,25;34.167,75
11.02.2024;12.02.2024;101.615,50;43.705,50;132.111,00;315.569,75;30.264,25;4.231,25;-;202.063,00;62.194,75;141.125,75;15.943,25;34.328,00
12.02.2024;13.02.2024;104.670,00;46.876,75;52.256,75;284.175,75;53.982,50;4.459,00;-;286.749,75;88.295,50;210.060,00;37.509,75;34.713,50
13.02.2024;14.02.2024;105.646,00;44.726,75;123.083,25;376.243,50;120.545,25;4.414,50;-;263.412,25;100.631,75;195.237,00;19.626,00;34.780,00
14.02.2024;15.02.2024;103.080,50;44.961,25;58.239,00;450.853,75;53.021,50;4.157,00;-;278.841,75;115.378,75;175.528,00;23.928,25;33.984,00
15.02.2024;16.02.2024;103.239,00;44.634,00;100.754,50;295.791,50;86.343,25;3.644,75;-;275.223,00;111.780,50;197.540,75;24.191,25;34.436,50
16.02.2024;17.02.2024;102.726,50;44.189,25;122.944,75;466.619,75;85.237,00;3.508,00;-;219.445,50;81.708,25;165.876,00;24.075,75;32.530,50
17.02.2024;18.02.2024;102.612,75;45.057,75;53.297,75;270.768,25;80.149,25;3.132,50;-;218.417,25;75.721,00;176.590,00;29.531,75;29.581,50
18.02.2024;19.02.2024;102.046,00;45.016,25;119.964,25;408.276,25;90.326,50;2.895,75;-;135.193,75;60.122,50;139.253,50;11.561,75;28.873,25
19.02.2024;20.02.2024;104.350,50;46.628,00;108.324,25;581.311,00;55.619,00;2.885,50;-;195.582,75;93.375,75;157.600,00;30.044,50;27.766,25
20.02.2024;21.02.2024;107.138,50;50.737,00;109.762,75;458.189,75;88.504,25;2.895,00;-;205.626,25;104.872,50;179.248,25;29.024,75;30.478,75
21.02.2024;22.02.2024;107.372,25;48.723,75;110.761,75;567.027,75;106.293,50;3.089,25;-;160.282,00;106.102,00;165.754,75;28.397,50;30.799,25
22.02.2024;23.02.2024;106.195,75;48.987,00;103.713,00;688.992,25;43.666,00;3.183,00;-;150.430,50;77.993,75;154.799,50;30.708,75;33.186,00
23.02.2024;24.02.2024;106.738,00;49.232,50;93.163,50;700.258,50;84.458,50;3.013,50;-;149.266,25;74.485,75;182.979,25;41.125,00;33.140,75
24.02.2024;25.02.2024;106.724,50;50.417,25;66.134,25;351.347,75;141.314,00;2.899,25;-;174.824,25;51.845,00;158.831,25;18.012,50;33.846,75
25.02.2024;26.02.2024;106.524,50;48.357,25;30.361,50;302.670,75;154.637,50;2.828,00;-;185.557,00;47.949,50;163.018,00;21.528,50;33.540,75
26.02.2024;27.02.2024;106.799,25;47.602,50;63.064,75;261.548,75;100.958,75;2.806,00;-;269.360,50;68.359,50;200.384,75;20.753,25;32.408,00
27.02.2024;28.02.2024;108.099,25;48.545,75;17.303,25;141.909,75;79.709,75;2.808,00;-;336.589,25;102.202,50;271.659,00;37.997,25;34.075,00
28.02.2024;29.02.2024;108.090,50;47.166,75;69.319,00;84.430,75;100.875,25;2.772,75;-;335.624,25;104.183,75;286.395,50;30.506,50;34.717,50
29.02.2024;01.03.2024;107.567,50;44.805,50;136.877,25;378.032,75;156.351,25;2.818,00;-;227.330,00;79.577,75;199.283,25;26.343,00;33.000,00
01.03.2024;02.03.2024;107.839,50;45.516,00;110.530,25;279.929,75;92.550,25;2.800,50;-;242.114,75;79.201,25;192.829,50;25.001,75;34.629,50
02.03.2024;03.03.2024;106.179,50;44.432,75;100.085,25;284.312,75;164.759,50;2.761,00;-;184.398,50;58.883,50;155.650,00;18.604,00;32.485,50
03.03.2024;04.03.2024;105.267,50;42.541,00;102.482,00;258.227,25;185.383,25;2.642,75;-;197.896,50;67.214,75;137.894,00;11.461,50;28.633,50
04.03.2024;05.03.2024;105.842,00;44.856,50;50.181,25;142.168,00;93.207,25;2.705,00;-;358.073,25;121.230,50;226.343,00;31.566,50;32.481,50
05.03.2024;06.03.2024;105.250,50;44.488,75;122.404,00;194.964,50;67.234,25;2.753,25;-;382.776,00;145.559,00;258.052,00;17.805,50;32.435,00
06.03.2024;07.03.2024;105.663,50;45.330,50;65.361,25;89.675,25;114.284,25;2.745,25;-;383.041,50;152.965,75;267.402,75;26.904,00;32.994,75
07.03.2024;08.03.2024;106.824,75;46.380,50;61.771,50;252.899,75;131.133,50;2.813,25;-;330.511,00;109.693,75;207.431,25;25.818,00;33.797,00
08.03.2024;09.03.2024;106.589,75;45.826,50;116.272,75;482.141,25;247.356,00;2.748,00;-;164.455,50;64.717,50;153.637,75;27.810,00;32.968,00
09.03.2024;10.03.2024;104.985,00;43.026,00;159.836,25;471.859,00;228.277,75;2.743,25;-;92.698,25;61.257,00;124.797,50;24.796,75;32.237,25
10.03.2024;11.03.2024;104.268,50;40.856,25;152.551,50;558.337,50;135.100,75;2.705,00;-;101.777,00;68.315,25;114.587,25;10.682,00;31.512,00
11.03.2024;12.03.2024;103.595,75;43.819,00;125.705,50;321.828,00;150.435,00;2.761,00;-;224.593,25;92.215,50;200.389,50;28.742,50;31.711,75
12.03.2024;13.03.2024;103.806,00;45.027,00;19.310,25;130.675,00;84.734,00;2.719,00;-;341.293,50;113.805,50;260.149,50;28.838,75;32.743,75
13.03.2024;14.03.2024;104.945,25;45.231,75;97.660,00;176.302,75;111.560,25;2.748,00;-;309.400,75;99.967,25;219.444,50;28.013,75;32.419,25
14.03.2024;15.03.2024;104.403,25;44.557,75;128.311,75;265.166,75;172.493,00;2.712,75;-;210.307,50;86.205,00;197.229,25;29.714,00;32.357,75
15.03.2024;16.03.2024;105.032,75;42.830,00;152.455,75;486.067,25;153.149,50;2.696,75;-;146.682,75;53.187,00;139.406,50;25.580,25;31.963,00
16.03.2024;17.03.2024;104.575,50;43.566,00;97.672,50;550.088,75;120.067,25;2.678,25;-;113.657,25;56.373,50;112.051,75;21.717,50;31.982,50
17.03.2024;18.03.2024;105.558,75;45.170,50;76.586,00;145.665,50;203.607,75;2.645,00;-;166.482,25;45.070,75;125.007,50;19.797,50;33.016,75
18.03.2024;19.03.2024;106.361,75;44.877,25;70.880,50;181.126,00;148.395,25;2.680,50;-;271.119,25;84.990,50;216.481,25;35.111,25;32.190,50
19.03.2024;20.03.2024;106.897,75;48.523,25;70.391,75;110.431,25;208.684,75;2.686,75;-;289.050,75;94.681,50;219.103,00;26.476,00;32.524,50
20.03.2024;21.03.2024;106.710,00;48.837,50;16.754,50;37.091,00;220.275,50;2.652,75;-;304.574,75;127.672,25;239.906,50;31.903,25;31.379,50
21.03.2024;22.03.2024;106.638,25;46.048,50;79.141,75;240.716,25;139.776,50;2.629,75;-;277.662,75;91.082,00;201.994,25;25.376,50;31.143,25
22.03.2024;23.03.2024;107.125,00;47.986,25;109.934,25;369.207,50;141.444,75;2.764,25;-;157.467,75;58.486,00;177.827,25;28.610,50;31.724,50
23.03.2024;24.03.2024;106.168,00;46.821,25;124.872,25;455.206,00;144.938,00;2.881,25;-;102.876,75;34.275,50;116.406,25;28.191,50;31.986,25
24.03.2024;25.03.2024;105.083,50;44.295,50;128.127,50;677.388,25;122.569,25;2.841,75;-;95.263,00;30.271,75;96.285,00;11.268,00;30.270,75
25.03.2024;26.03.2024;107.780,75;45.524,50;25.917,25;259.583,75;223.314,00;2.789,50;-;231.721,50;67.238,25;202.970,25;40.967,75;27.266,75
26.03.2024;27.03.2024;107.200,50;45.445,00;70.584,75;370.882,25;226.181,50;3.040,25;-;196.272,00;81.015,50;163.756,50;31.352,50;32.313,75
27.03.2024;28.03.2024;106.525,25;46.417,25;56.566,00;218.874,25;184.237,75;3.136,00;-;157.355,00;82.588,75;177.529,25;37.461,25;32.441,50
28.03.2024;29.03.2024;105.508,50;46.407,25;68.946,50;544.685,50;151.639,00;3.270,00;-;113.306,50;55.289,25;121.467,25;26.432,75;32.923,50
29.03.2024;30.03.2024;104.277,00;44.999,00;111.219,25;460.904,75;137.197,00;2.810,00;-;94.583,75;46.637,00;92.853,00;36.429,25;32.804,75
30.03.2024;31.03.2024;104.347,00;43.795,00;41.140,25;221.022,50;165.992,50;2.647,75;-;128.314,75;52.290,00;111.760,25;32.426,25;32.872,25
31.03.2024;01.04.2024;99.367,50;41.421,50;23.184,75;110.360,75;206.778,00;2.510,00;-;91.289,75;41.051,25;70.605,75;23.627,75;30.684,25
01.04.2024;02.04.2024;102.733,75;43.225,25;45.123,25;338.949,75;89.289,50;2.671,50;-;87.527,50;38.756,00;79.017,25;20.690,25;32.479,25
02.04.2024;03.04.2024;103.396,25;44.992,50;74.069,25;739.921,75;179.558,50;2.610,75;-;80.699,00;48.612,75;97.616,75;30.597,75;31.844,00
03.04.2024;04.04.2024;105.732,50;43.175,75;69.031,00;315.459,50;118.775,25;2.619,75;-;180.812,00;57.111,75;201.076,25;32.911,25;32.748,50
04.04.2024;05.04.2024;104.777,75;42.786,50;117.938,00;600.910,75;127.439,00;2.511,50;-;123.509,25;45.748,50;129.458,25;23.488,00;32.264,75
05.04.2024;06.04.2024;105.081,00;44.751,50;97.187,50;579.830,75;194.067,75;2.577,75;-;100.410,25;57.963,50;113.638,75;34.250,00;30.109,75
06.04.2024;07.04.2024;103.575,75;43.620,75;109.042,50;351.377,50;290.608,00;2.487,75;-;82.357,00;47.174,25;81.661,75;33.825,00;29.524,25
07.04.2024;08.04.2024;100.108,25;43.273,00;108.789,25;340.737,00;235.187,00;2.445,25;-;89.038,00;40.897,75;96.197,75;26.028,00;28.942,25
08.04.2024;09.04.2024;95.812,50;46.162,75;47.196,75;128.604,25;250.281,25;2.339,75;-;177.770,25;72.248,00;165.229,75;40.768,25;29.065,25
09.04.2024;10.04.2024;93.389,50;45.898,50;106.435,75;489.031,25;147.705,75;2.433,25;-;118.660,50;56.382,00;111.293,25;27.034,75;29.319,00
10.04.2024;11.04.2024;95.023,50;45.021,00;97.751,75;315.160,75;209.252,25;2.572,75;-;131.108,25;79.350,00;148.199,50;39.058,75;29.274,00
11.04.2024;12.04.2024;96.927,25;44.711,00;98.044,50;332.974,00;242.582,75;2.609,25;-;121.128,75;65.507,25;151.515,50;35.655,00;28.497,00
12.04.2024;13.04.2024;97.135,00;45.063,75;117.367,25;282.044,75;254.527,50;2.608,00;-;118.201,00;39.695,25;117.516,25;35.796,25;28.858,50
13.04.2024;14.04.2024;94.894,00;41.161,00;83.469,25;363.385,75;291.841,25;2.551,75;-;73.515,00;29.968,00;75.957,75;31.421,25;28.394,25
14.04.2024;15.04.2024;93.973,75;41.757,25;72.256,75;419.718,00;275.190,25;2.513,75;-;85.774,75;29.772,75;88.838,75;26.502,00;24.465,50
15.04.2024;16.04.2024;95.586,75;45.142,50;67.728,50;391.592,75;180.823,00;2.630,75;-;122.783,50;37.903,25;129.739,75;37.963,75;22.006,25
16.04.2024;17.04.2024;96.892,25;47.771,75;68.750,50;529.004,75;170.216,00;2.686,75;-;143.297,75;55.527,50;124.814,00;23.253,00;22.922,25
17.04.2024;18.04.2024;101.077,50;51.838,50;21.029,00;116.983,00;201.029,00;2.688,50;-;226.291,75;105.333,00;213.348,75;32.007,75;29.722,25
18.04.2024;19.04.2024;101.171,75;52.056,50;47.595,25;156.271,50;229.827,00;2.694,75;-;233.132,25;97.025,00;200.126,75;34.601,75;29.935,00
19.04.2024;20.04.2024;100.966,25;47.659,50;124.553,50;636.237,50;109.912,50;2.747,50;-;114.792,00;60.755,75;117.954,50;27.580,00;28.841,50
20.04.2024;21.04.2024;105.258,25;49.489,50;79.551,25;293.747,50;207.170,50;2.678,00;-;119.161,00;35.870,50;100.145,50;28.221,50;27.287,25
21.04.2024;22.04.2024;104.813,75;49.190,25;56.434,00;240.087,25;207.088,75;2.686,50;-;130.485,50;45.841,75;106.116,50;14.280,25;27.786,25
22.04.2024;23.04.2024;103.416,00;51.211,25;37.167,50;109.300,50;243.445,25;2.680,00;-;232.385,50;61.893,25;230.637,50;39.712,00;28.939,25
23.04.2024;24.04.2024;102.356,25;50.526,25;62.115,75;117.366,00;246.155,50;2.689,25;-;223.014,75;76.624,50;258.437,50;29.856,75;29.161,00
24.04.2024;25.04.2024;103.388,00;50.705,25;83.351,00;206.045,00;203.207,75;2.701,75;-;227.429,50;68.292,25;256.301,50;25.439,75;29.032,50
25.04.2024;26.04.2024;104.457,75;49.305,25;25.568,50;171.140,75;215.952,00;2.661,00;-;242.215,25;68.403,25;252.729,50;25.942,25;28.984,50
26.04.2024;27.04.2024;105.782,00;49.310,50;16.208,50;201.564,75;244.968,25;2.634,75;-;221.152,25;77.144,25;203.340,25;32.251,25;28.363,00
27.04.2024;28.04.2024;104.297,25;48.678,50;27.495,50;178.810,00;329.115,25;2.609,00;-;140.840,75;36.856,25;111.479,50;29.363,25;27.836,50
